Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K)
2020,Jan.,1,1,44.02,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.04,0.07,4.32,957.91,2.60,0.001035,272.99
2020,Jan.,2,2,44.67,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.06,0.09,4.30,957.76,2.60,0.001035,272.99
2020,Jan.,3,3,52.9,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.14,4.14,957.50,2.60,0.001035,272.99
2020,Jan.,4,4,46.71,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.03,0.05,4.51,956.97,2.60,0.001035,272.99
2020,Jan.,5,5,22.24,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.04,0.06,3.85,956.93,2.60,0.001035,272.99
2020,Jan.,6,6,18.88,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.05,0.07,3.91,956.71,2.60,0.001035,272.99
2020,Jan.,7,7,24.91,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.19,1.87,956.41,2.60,0.001035,272.99
2020,Jan.,8,8,29.32,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,1.69,955.57,2.60,0.001035,272.99
2020,Jan.,9,9,16.3,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.21,1.84,955.65,2.60,0.001035,272.99
2020,Jan.,10,10,33.19,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,1.38,955.67,2.60,0.001035,272.99
2020,Jan,11,11,20.12,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.18,2.25,955.71,2.60,0.001035,272.99
2020,Jan,12,12,30.45,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,2.49,955.73,2.60,0.001035,272.99
2020,Jan,13,13,32.58,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.19,2.36,955.78,2.60,0.001035,272.99
2020,Jan,14,14,48.81,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.13,0.27,2.24,955.78,2.60,0.001035,272.99
2020,Jan,15,15,53.6,MZ24,MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.18,0.38,2.43,955.83,2.60,0.001035,272.99
